author,title,type,start,end,kind,words
"Dickens, Charles",A Tale of Two Cities,sentence,1,1846,NA,A TALE OF TWO CITIES A STORY OF THE FRENCH REVOLUTION By Charles Dickens CONTENTS      Book the FirstRecalled to Life      CHAPTER I      The Period      CHAPTER II     The Mail      CHAPTER III    The Night Shadows      CHAPTER IV     The Preparation      CHAPTER V      The Wineshop      CHAPTER VI     The Shoemaker      Book the Secondthe Golden Thread      CHAPTER I      Five Years Later      CHAPTER II     A Sight      CHAPTER III    A Disappointment      CHAPTER IV     Congratulatory      CHAPTER V      The Jackal      CHAPTER VI     Hundreds of People      CHAPTER VII    Monseigneur in Town      CHAPTER VIII   Monseigneur in the Country      CHAPTER IX     The Gorgons Head      CHAPTER X      Two Promises      CHAPTER XI     A Companion Picture      CHAPTER XII    The Fellow of Delicacy      CHAPTER XIII   The Fellow of no Delicacy      CHAPTER XIV    The Honest Tradesman      CHAPTER XV     Knitting      CHAPTER XVI    Still Knitting      CHAPTER XVII   One Night      CHAPTER XVIII  Nine Days      CHAPTER XIX    An Opinion      CHAPTER XX     A Plea      CHAPTER XXI    Echoing Footsteps      CHAPTER XXII   The Sea Still Rises      CHAPTER XXIII  Fire Rises      CHAPTER XXIV   Drawn to the Loadstone Rock      Book the Thirdthe Track of a Storm      CHAPTER I      In Secret      CHAPTER II     The Grindstone      CHAPTER III    The Shadow      CHAPTER IV     Calm in Storm      CHAPTER V      The Woodsawyer      CHAPTER VI     Triumph      CHAPTER VII    A Knock at the Door      CHAPTER VIII   A Hand at Cards      CHAPTER IX     The Game Made      CHAPTER X      The Substance of the Shadow      CHAPTER XI     Dusk      CHAPTER XII    Darkness      CHAPTER XIII   Fiftytwo      CHAPTER XIV    The Knitting Done      CHAPTER XV     The Footsteps Die Out For Ever Book the FirstRecalled to Life CHAPTER I
"Dickens, Charles",A Tale of Two Cities,sentence,1848,2470,NA,The Period It was the best of times it was the worst of times it was the age of wisdom it was the age of foolishness it was the epoch of belief it was the epoch of incredulity it was the season of Light it was the season of Darkness it was the spring of hope it was the winter of despair we had everything before us we had nothing before us we were all going direct to Heaven we were all going direct the other wayin short the period was so far like the present period that some of its noisiest authorities insisted on its being received for good or for evil in the superlative degree of comparison only
"Dickens, Charles",A Tale of Two Cities,sentence,2472,2652,NA,There were a king with a large jaw and a queen with a plain face on the throne of England there were a king with a large jaw and a queen with a fair face on the throne of France
"Dickens, Charles",A Tale of Two Cities,sentence,2654,2802,NA,In both countries it was clearer than crystal to the lords of the State preserves of loaves and fishes that things in general were settled for ever
"Dickens, Charles",A Tale of Two Cities,sentence,2804,2875,NA,It was the year of Our Lord one thousand seven hundred and seventyfive
"Dickens, Charles",A Tale of Two Cities,sentence,2877,2959,NA,Spiritual revelations were conceded to England at that favoured period as at this
"Dickens, Charles",A Tale of Two Cities,sentence,2961,3211,NA,Mrs Southcott had recently attained her fiveandtwentieth blessed birthday of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster
"Dickens, Charles",A Tale of Two Cities,sentence,3213,3415,NA,Even the Cocklane ghost had been laid only a round dozen of years after rapping out its messages as the spirits of this very year last past supernaturally deficient in originality rapped out theirs
"Dickens, Charles",A Tale of Two Cities,sentence,3417,3717,NA,Mere messages in the earthly order of events had lately come to the English Crown and People from a congress of British subjects in America which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cocklane brood
"Dickens, Charles",A Tale of Two Cities,sentence,3719,3899,NA,France less favoured on the whole as to matters spiritual than her sister of the shield and trident rolled with exceeding smoothness down hill making paper money and spending it
"Dickens, Charles",A Tale of Two Cities,sentence,3901,4280,NA,Under the guidance of her Christian pastors she entertained herself besides with such humane achievements as sentencing a youth to have his hands cut off his tongue torn out with pincers and his body burned alive because he had not kneeled down in the rain to do honour to a dirty procession of monks which passed within his view at a distance of some fifty or sixty yards
"Dickens, Charles",A Tale of Two Cities,sentence,4282,4574,NA,It is likely enough that rooted in the woods of France and Norway there were growing trees when that sufferer was put to death already marked by the Woodman Fate to come down and be sawn into boards to make a certain movable framework with a sack and a knife in it terrible in history
"Dickens, Charles",A Tale of Two Cities,sentence,4576,4906,NA,It is likely enough that in the rough outhouses of some tillers of the heavy lands adjacent to Paris there were sheltered from the weather that very day rude carts bespattered with rustic mire snuffed about by pigs and roosted in by poultry which the Farmer Death had already set apart to be his tumbrils of the Revolution
"Dickens, Charles",A Tale of Two Cities,sentence,4908,5158,NA,But that Woodman and that Farmer though they work unceasingly work silently and no one heard them as they went about with muffled tread the rather forasmuch as to entertain any suspicion that they were awake was to be atheistical and traitorous
"Dickens, Charles",A Tale of Two Cities,sentence,5160,5258,NA,In England there was scarcely an amount of order and protection to justify much national boasting
