author,title,sentence,sentence_nr,words,kind
"Dickens, Charles",A Tale of Two Cities,A TALE OF TWO CITIES A STORY OF THE FRENCH REVOLUTION By Charles Dickens CONTENTS      Book the FirstRecalled to Life      CHAPTER I      The Period      CHAPTER II     The Mail      CHAPTER III    The Night Shadows      CHAPTER IV     The Preparation      CHAPTER V      The Wineshop      CHAPTER VI     The Shoemaker      Book the Secondthe Golden Thread      CHAPTER I      Five Years Later      CHAPTER II     A Sight      CHAPTER III    A Disappointment      CHAPTER IV     Congratulatory      CHAPTER V      The Jackal      CHAPTER VI     Hundreds of People      CHAPTER VII    Monseigneur in Town      CHAPTER VIII   Monseigneur in the Country      CHAPTER IX     The Gorgons Head      CHAPTER X      Two Promises      CHAPTER XI     A Companion Picture      CHAPTER XII    The Fellow of Delicacy      CHAPTER XIII   The Fellow of no Delicacy      CHAPTER XIV    The Honest Tradesman      CHAPTER XV     Knitting      CHAPTER XVI    Still Knitting      CHAPTER XVII   One Night      CHAPTER XVIII  Nine Days      CHAPTER XIX    An Opinion      CHAPTER XX     A Plea      CHAPTER XXI    Echoing Footsteps      CHAPTER XXII   The Sea Still Rises      CHAPTER XXIII  Fire Rises      CHAPTER XXIV   Drawn to the Loadstone Rock      Book the Thirdthe Track of a Storm      CHAPTER I      In Secret      CHAPTER II     The Grindstone      CHAPTER III    The Shadow      CHAPTER IV     Calm in Storm      CHAPTER V      The Woodsawyer      CHAPTER VI     Triumph      CHAPTER VII    A Knock at the Door      CHAPTER VIII   A Hand at Cards      CHAPTER IX     The Game Made      CHAPTER X      The Substance of the Shadow      CHAPTER XI     Dusk      CHAPTER XII    Darkness      CHAPTER XIII   Fiftytwo      CHAPTER XIV    The Knitting Done      CHAPTER XV     The Footsteps Die Out For Ever Book the FirstRecalled to Life CHAPTER I,1,Charles Darnay,person
"Dickens, Charles",A Tale of Two Cities,A TALE OF TWO CITIES A STORY OF THE FRENCH REVOLUTION By Charles Dickens CONTENTS      Book the FirstRecalled to Life      CHAPTER I      The Period      CHAPTER II     The Mail      CHAPTER III    The Night Shadows      CHAPTER IV     The Preparation      CHAPTER V      The Wineshop      CHAPTER VI     The Shoemaker      Book the Secondthe Golden Thread      CHAPTER I      Five Years Later      CHAPTER II     A Sight      CHAPTER III    A Disappointment      CHAPTER IV     Congratulatory      CHAPTER V      The Jackal      CHAPTER VI     Hundreds of People      CHAPTER VII    Monseigneur in Town      CHAPTER VIII   Monseigneur in the Country      CHAPTER IX     The Gorgons Head      CHAPTER X      Two Promises      CHAPTER XI     A Companion Picture      CHAPTER XII    The Fellow of Delicacy      CHAPTER XIII   The Fellow of no Delicacy      CHAPTER XIV    The Honest Tradesman      CHAPTER XV     Knitting      CHAPTER XVI    Still Knitting      CHAPTER XVII   One Night      CHAPTER XVIII  Nine Days      CHAPTER XIX    An Opinion      CHAPTER XX     A Plea      CHAPTER XXI    Echoing Footsteps      CHAPTER XXII   The Sea Still Rises      CHAPTER XXIII  Fire Rises      CHAPTER XXIV   Drawn to the Loadstone Rock      Book the Thirdthe Track of a Storm      CHAPTER I      In Secret      CHAPTER II     The Grindstone      CHAPTER III    The Shadow      CHAPTER IV     Calm in Storm      CHAPTER V      The Woodsawyer      CHAPTER VI     Triumph      CHAPTER VII    A Knock at the Door      CHAPTER VIII   A Hand at Cards      CHAPTER IX     The Game Made      CHAPTER X      The Substance of the Shadow      CHAPTER XI     Dusk      CHAPTER XII    Darkness      CHAPTER XIII   Fiftytwo      CHAPTER XIV    The Knitting Done      CHAPTER XV     The Footsteps Die Out For Ever Book the FirstRecalled to Life CHAPTER I,1,Charles Darnay,person
"Dickens, Charles",A Tale of Two Cities,A TALE OF TWO CITIES A STORY OF THE FRENCH REVOLUTION By Charles Dickens CONTENTS      Book the FirstRecalled to Life      CHAPTER I      The Period      CHAPTER II     The Mail      CHAPTER III    The Night Shadows      CHAPTER IV     The Preparation      CHAPTER V      The Wineshop      CHAPTER VI     The Shoemaker      Book the Secondthe Golden Thread      CHAPTER I      Five Years Later      CHAPTER II     A Sight      CHAPTER III    A Disappointment      CHAPTER IV     Congratulatory      CHAPTER V      The Jackal      CHAPTER VI     Hundreds of People      CHAPTER VII    Monseigneur in Town      CHAPTER VIII   Monseigneur in the Country      CHAPTER IX     The Gorgons Head      CHAPTER X      Two Promises      CHAPTER XI     A Companion Picture      CHAPTER XII    The Fellow of Delicacy      CHAPTER XIII   The Fellow of no Delicacy      CHAPTER XIV    The Honest Tradesman      CHAPTER XV     Knitting      CHAPTER XVI    Still Knitting      CHAPTER XVII   One Night      CHAPTER XVIII  Nine Days      CHAPTER XIX    An Opinion      CHAPTER XX     A Plea      CHAPTER XXI    Echoing Footsteps      CHAPTER XXII   The Sea Still Rises      CHAPTER XXIII  Fire Rises      CHAPTER XXIV   Drawn to the Loadstone Rock      Book the Thirdthe Track of a Storm      CHAPTER I      In Secret      CHAPTER II     The Grindstone      CHAPTER III    The Shadow      CHAPTER IV     Calm in Storm      CHAPTER V      The Woodsawyer      CHAPTER VI     Triumph      CHAPTER VII    A Knock at the Door      CHAPTER VIII   A Hand at Cards      CHAPTER IX     The Game Made      CHAPTER X      The Substance of the Shadow      CHAPTER XI     Dusk      CHAPTER XII    Darkness      CHAPTER XIII   Fiftytwo      CHAPTER XIV    The Knitting Done      CHAPTER XV     The Footsteps Die Out For Ever Book the FirstRecalled to Life CHAPTER I,1,Jack,person
"Dickens, Charles",A Tale of Two Cities,The Period It was the best of times it was the worst of times it was the age of wisdom it was the age of foolishness it was the epoch of belief it was the epoch of incredulity it was the season of Light it was the season of Darkness it was the spring of hope it was the winter of despair we had everything before us we had nothing before us we were all going direct to Heaven we were all going direct the other wayin short the period was so far like the present period that some of its noisiest authorities insisted on its being received for good or for evil in the superlative degree of comparison only,2,Paris,location
"Dickens, Charles",A Tale of Two Cities,There were a king with a large jaw and a queen with a plain face on the throne of England there were a king with a large jaw and a queen with a fair face on the throne of France,3,England,location
"Dickens, Charles",A Tale of Two Cities,There were a king with a large jaw and a queen with a plain face on the throne of England there were a king with a large jaw and a queen with a fair face on the throne of France,3,France,location
"Dickens, Charles",A Tale of Two Cities,Spiritual revelations were conceded to England at that favoured period as at this,6,England,location
"Dickens, Charles",A Tale of Two Cities,Mrs Southcott had recently attained her fiveandtwentieth blessed birthday of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster,7,London,location
"Dickens, Charles",A Tale of Two Cities,Mrs Southcott had recently attained her fiveandtwentieth blessed birthday of whom a prophetic private in the Life Guards had heralded the sublime appearance by announcing that arrangements were made for the swallowing up of London and Westminster,7,Westminster,location
"Dickens, Charles",A Tale of Two Cities,Mere messages in the earthly order of events had lately come to the English Crown and People from a congress of British subjects in America which strange to relate have proved more important to the human race than any communications yet received through any of the chickens of the Cocklane brood,9,America,location
