"","words","kind"
"1","People","person"
"2","Reason","person"
"3","Head X","location"
"4","Storm","location"
"5","Light","location"
"6","England","location"
"7","France","location"
"8","London","location"
"9","Westminster","location"
"10","America","location"
"11","Norway","location"
"12","Paris","location"
"13","Farmer","location"
"14","Westminster Hall","location"
"15","Joe","person"
"16","Tom","person"
"17","Jerry","person"
"18","Mr Lorry","person"
"19","Tellson","location"
"20","Temple Bar","location"
"21","Smith","person"
"22","Dover","location"
"23","Concord","location"
"24","Dover","person"
"25","Manette","person"
"26","Pray","person"
"27","Turkey","location"
"28","Channel","location"
"29","Monsieur Manette","person"
"30","Saint Antoine","person"
"31","Providence","location"
"32","Monsieur Defarge","person"
"33","Jacques","person"
"34","NotreDame","person"
"35","Defarge","person"
"36","Devil","location"
"37","North Tower","location"
"38","Anna Dominoes","person"
"39","Mr Cruncher","person"
"40","Mr Crunches","person"
"41","Jerry Cruncher","person"
"42","Temple","location"
"43","Bar","location"
"44","Porter","person"
"45","Charles Darnay","person"
"46","Lewis","person"
"47","Mr AttorneyGeneral","person"
"48","John Barsad","person"
"49","Canada","location"
"50","North America","location"
"51","Britain","location"
"52","Greece","location"
"53","Rome","location"
"54","Roger Cly","person"
"55","Lord","person"
"56","Doctor Manette","person"
"57","Mr Carton","person"
"58","Mr Stryver","person"
"59","Washington","location"
"60","Lucie Manette","person"
"61","Charles Darnayjust","person"
"62","Mr Darnay","person"
"63","Sydney Carton","person"
"64","King","location"
"65","Sydney","location"
"66","Hope","location"
"67","Clerkenwell","location"
"68","Soho","location"
"69","Pross","person"
"70","Art","person"
"71","Solomon","person"
"72","Miss Pross","person"
"73","Cinderella","person"
"74","Miss","person"
"75","Darnay","person"
"76","Londonhave","location"
"77","Saint Paul","person"
"78","FarmerGeneral","person"
"79","Notre Dame","person"
"80","Unbelieving Chemists","person"
"81","Professors","person"
"82","Monsieur Orleans","person"
"83","Monsieur","person"
"84","Marquis","location"
"85","Monsieur Gabelle","person"
"86","Monsieur Charles","person"
"87","Monsieur","location"
"88","Timethrough","location"
"89","Surely","person"
"90","Cambridge","location"
"91","Latin","location"
"92","Dear","person"
"93","Lucie","person"
"94","Lucie","location"
"95","Stryver","person"
"96","Sydney","person"
"97","Temple Court","location"
"98","Old Bailey Spiiies","person"
"99","Saint Pancras","person"
"100","Chase","person"
"101","Grace","person"
"102","Jacques Two","person"
"103","Jacques Four","person"
"104","Jacques Five","person"
"105","Jacques Three","person"
"106","Scientific","location"
"107","Madame Defarge","location"
"108","Louis Fifteen","person"
"109","King","person"
"110","Queen","location"
"111","Franceall France","location"
"112","John","person"
"113","Either Saint Antoine","person"
"114","Saint","person"
"115","Charles","person"
"116","Adam","person"
"117","Lorry","location"
"118","Charles Darnayas","person"
"119","Carton","person"
"120","Poor Carton","person"
"121","Charles","location"
"122","Love","location"
"123","Jacques One","person"
"124","Two Thousand","person"
"125","Jacques FiveandTwenty Thousand","person"
"126","South Sea","location"
"127","Haggard Saint Antoine","person"
"128","Saint Antoine Quarter","person"
"129","East","location"
"130","Sardanapalus","location"
"131","Bully Stryver","person"
"132","Old England","location"
"133","King of France","location"
"134","Liberty","location"
"135","Peace","person"
"136","Evrémonde","person"
"137","Saint Germain Quarter","person"
"138","Earth","location"
"139","La Guillotine","location"
"140","Revolution","person"
"141","Charles Evrémonde","person"
"142","Monsieur Lorry","person"
"143","Nick","person"
"144","Midnight Murder","person"
"145","John Solomon","person"
"146","Solomon John","person"
"147","Mr Barsad","person"
"148","Solomon Pross","person"
"149","Saint PancrasintheFields","person"
"150","La Force","location"
"151","Ernest Defarge","person"
"152","Doctor","person"
"153","As Carton","person"
"154","Herhe","person"
"155","Jarvis Lorry","person"
"156","Behold","location"
"157","Brave","location"
"158","Charles Dickens Contents Chapter","person"
"159","Christian","person"
"160","Philip","person"
"161","Joe Gargery","person"
"162","Philip Pirrip","person"
"163","Alexander","person"
"164","Abraham","person"
"165","Roger","person"
"166","Mrs Joe","person"
"167","Damn","person"
"168","Pumblechook","person"
"169","Mr Pumblechook","person"
"170","Pork","location"
"171","Mr Hubble","person"
"172","Mr Wopsle","person"
"173","Mrs Hubble","person"
"174","Mr P","person"
"175","Mark Antony","person"
