author,title,kind,street,area,city,province,country,words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
"Dickens, Charles",A Tale of Two Cities,location,,,,,United States of America,America,0.666666667,3,2,0.666666667,4.333333333,7.333333333,15.66666667,0.666666667,0,10.33333333,8.333333333
"Dickens, Charles",A Tale of Two Cities,location,,,,,United Kingdom,Britain,0,6,0,0,3,3,9,0,0,3,6
"Dickens, Charles",A Tale of Two Cities,location,,,Cambridge,,United Kingdom,Cambridge,6,3,6,6,0,6,0,0,0,3,-6
"Dickens, Charles",A Tale of Two Cities,location,,,,,Canada,Canada,0,8,4,0,12,20,44,0,0,28,24
"Dickens, Charles",A Tale of Two Cities,location,,Clerkenwell,London,,United Kingdom,Clerkenwell,1,4,1,1,3,1,9.666666667,0,4,3,8.666666667
"Dickens, Charles",A Tale of Two Cities,location,,,,,,Concord,0.142857143,1.142857143,0,0.285714286,0.285714286,0.857142857,2.285714286,0.571428571,0.285714286,1.857142857,1.428571429
"Dickens, Charles",A Tale of Two Cities,location,,,Dover,,United Kingdom,Dover,0.6,3.4,0.133333333,1.066666667,0.866666667,1.333333333,3.333333333,0.4,0.466666667,2.266666667,2
"Dickens, Charles",A Tale of Two Cities,location,,,,,,East,1.180722892,1.325301205,0.819277108,1.481927711,0.903614458,2.759036145,3.325301205,1.602409639,0.698795181,2.144578313,0.56626506
"Dickens, Charles",A Tale of Two Cities,location,,,,,England,England,0.766666667,1.466666667,0.8,1.066666667,1.1,2.2,3.4,0.933333333,0.633333333,2.533333333,1.2
"Dickens, Charles",A Tale of Two Cities,location,,,,,Europe,Europe,6,3,6,6,0,6,0,0,0,3,-6
"Dickens, Charles",A Tale of Two Cities,location,,,,,France,France,1.56,1.66,1.24,1.78,1.28,3.34,3.22,2.2,0.84,2.12,-0.12
"Dickens, Charles",A Tale of Two Cities,location,,,,,Greece,Greece,0,6,0,0,3,3,9,0,0,3,6
"Dickens, Charles",A Tale of Two Cities,location,,,London,,United Kingdom,London,1.136363636,2.363636364,0.772727273,1.954545455,2.090909091,1.909090909,5.136363636,1.409090909,1.318181818,3.590909091,3.227272727
"Dickens, Charles",A Tale of Two Cities,location,,,,,North America,North America,0,8,4,0,12,20,44,0,0,28,24
"Dickens, Charles",A Tale of Two Cities,location,,,,,,North Tower,0.9,0,0.6,0.8,0.1,1.2,1.6,0.9,0,0.2,0.4
"Dickens, Charles",A Tale of Two Cities,location,,,,,Norway,Norway,4,4,4,6,0,8,6,6,2,4,-2
"Dickens, Charles",A Tale of Two Cities,location,Notre Dame,,Paris,,France,Notre Dame,2.333333333,3,2.666666667,2,3,5,8.333333333,3,2,4.333333333,3.333333333
"Dickens, Charles",A Tale of Two Cities,location,,,Paris,,France,Paris,1.403225806,1.677419355,0.774193548,1.822580645,1.467741935,2.612903226,4.112903226,1.774193548,0.693548387,2.983870968,1.5
"Dickens, Charles",A Tale of Two Cities,location,,,Rome,,Italy,Rome,0,2.333333333,0.666666667,0,1,2,4,0,0,1,2
"Dickens, Charles",A Tale of Two Cities,location,,Saint Antoine Quarter,Paris,,France,Saint Antoine Quarter,2.285714286,4.163265306,1.326530612,3.326530612,3.918367347,4.510204082,6.693877551,2.408163265,3.87755102,6,2.183673469
"Dickens, Charles",A Tale of Two Cities,location,,Saint Germain Quarter,Paris,,France,Saint Germain Quarter,0,3,0,0,6,0,6,0,3,9,6
"Dickens, Charles",A Tale of Two Cities,location,,Saint Pancra,London,,United Kingdom,Saint Pancras,0,7,0,3,7,2,7,3,4,6,5
"Dickens, Charles",A Tale of Two Cities,location,St. Paul's Churchyard,,London,,United Kingdom,Saint Paul,0,6,0,0,6,0,12,0,6,6,12
"Dickens, Charles",A Tale of Two Cities,location,,Soho,London,,United Kingdom,Soho,1.117647059,3,0.470588235,0.823529412,2.764705882,1.705882353,8.058823529,1.882352941,0.705882353,5.411764706,6.352941176
