author,title,words,kind,total
"Dickens, Charles",A Tale of Two Cities,Adam,person,0.9393939393939394
"Dickens, Charles",A Tale of Two Cities,America,location,14.333333333333334
"Dickens, Charles",A Tale of Two Cities,Anna Dominoes,person,0
"Dickens, Charles",A Tale of Two Cities,Bill Barley,person,-1.2
"Dickens, Charles",A Tale of Two Cities,Britain,location,6
"Dickens, Charles",A Tale of Two Cities,Bully Stryver,person,-8
"Dickens, Charles",A Tale of Two Cities,Cambridge,location,-6
"Dickens, Charles",A Tale of Two Cities,Canada,location,42
"Dickens, Charles",A Tale of Two Cities,Channel,location,8.8
"Dickens, Charles",A Tale of Two Cities,Charles,location,1.975609756097561
"Dickens, Charles",A Tale of Two Cities,Charles,person,1.975609756097561
"Dickens, Charles",A Tale of Two Cities,Charles Darnay,person,2.25
"Dickens, Charles",A Tale of Two Cities,Christmas,person,2
"Dickens, Charles",A Tale of Two Cities,Cinderella,person,2
"Dickens, Charles",A Tale of Two Cities,Clerkenwell,location,10
"Dickens, Charles",A Tale of Two Cities,Concord,location,1.4285714285714286
"Dickens, Charles",A Tale of Two Cities,Dover,location,2.533333333333333
"Dickens, Charles",A Tale of Two Cities,Dover,person,2.533333333333333
"Dickens, Charles",A Tale of Two Cities,East,location,0.7349397590361446
"Dickens, Charles",A Tale of Two Cities,England,location,1.7666666666666666
"Dickens, Charles",A Tale of Two Cities,Ernest Defarge,person,0.25
"Dickens, Charles",A Tale of Two Cities,Europe,location,-6
"Dickens, Charles",A Tale of Two Cities,France,location,0.11764705882352941
"Dickens, Charles",A Tale of Two Cities,George,person,4.2
"Dickens, Charles",A Tale of Two Cities,Grace,person,0.35714285714285715
"Dickens, Charles",A Tale of Two Cities,Greece,location,6
"Dickens, Charles",A Tale of Two Cities,Inn,person,2.5084745762711864
"Dickens, Charles",A Tale of Two Cities,Jack,person,4.333333333333333
"Dickens, Charles",A Tale of Two Cities,Jacques,person,-0.06060606060606061
"Dickens, Charles",A Tale of Two Cities,Jacques Four,person,0
"Dickens, Charles",A Tale of Two Cities,Jacques One,person,0
"Dickens, Charles",A Tale of Two Cities,Jacques Three,person,-3.25
"Dickens, Charles",A Tale of Two Cities,Jacques Two,person,-1.5
"Dickens, Charles",A Tale of Two Cities,Jarvis Lorry,person,2.517730496453901
"Dickens, Charles",A Tale of Two Cities,Jerry,person,0.4342105263157895
"Dickens, Charles",A Tale of Two Cities,Jerry Cruncher,person,-1.75
"Dickens, Charles",A Tale of Two Cities,Joe Gargery,person,2
"Dickens, Charles",A Tale of Two Cities,John,person,-4
"Dickens, Charles",A Tale of Two Cities,John Barsad,person,-2
"Dickens, Charles",A Tale of Two Cities,John Solomon,person,-8
"Dickens, Charles",A Tale of Two Cities,King,location,1.368421052631579
"Dickens, Charles",A Tale of Two Cities,King,person,1.368421052631579
"Dickens, Charles",A Tale of Two Cities,King of France,location,-12
"Dickens, Charles",A Tale of Two Cities,La Force,location,-1.2352941176470589
"Dickens, Charles",A Tale of Two Cities,La Guillotine,location,-2.3333333333333335
"Dickens, Charles",A Tale of Two Cities,Lewis,person,42
"Dickens, Charles",A Tale of Two Cities,London,location,3.9565217391304346
"Dickens, Charles",A Tale of Two Cities,Londonhave,location,24
"Dickens, Charles",A Tale of Two Cities,Louis Fifteen,person,-3
"Dickens, Charles",A Tale of Two Cities,Lucie,location,2.679611650485437
"Dickens, Charles",A Tale of Two Cities,Lucie,person,2.679611650485437
"Dickens, Charles",A Tale of Two Cities,Lucie Manette,person,12.833333333333334
"Dickens, Charles",A Tale of Two Cities,Madame Defarge,location,0.8235294117647058
"Dickens, Charles",A Tale of Two Cities,Marquis,location,2.013157894736842
"Dickens, Charles",A Tale of Two Cities,Midnight Murder,person,-2
"Dickens, Charles",A Tale of Two Cities,Miss Pross,person,0.6829268292682927
"Dickens, Charles",A Tale of Two Cities,Monsieur,location,1.5384615384615385
"Dickens, Charles",A Tale of Two Cities,Monsieur,person,1.5384615384615385
"Dickens, Charles",A Tale of Two Cities,Monsieur Charles,person,-9
"Dickens, Charles",A Tale of Two Cities,Monsieur Gabelle,person,-0.9090909090909091
"Dickens, Charles",A Tale of Two Cities,Monsieur Manette,person,5.292792792792793
"Dickens, Charles",A Tale of Two Cities,Monsieur Orleans,person,5
"Dickens, Charles",A Tale of Two Cities,Mr AttorneyGeneral,person,-0.18181818181818182
"Dickens, Charles",A Tale of Two Cities,Mr Barsad,person,1.411764705882353
"Dickens, Charles",A Tale of Two Cities,Mr Cruncher,person,0.6388888888888888
"Dickens, Charles",A Tale of Two Cities,Mr Crunches,person,2
"Dickens, Charles",A Tale of Two Cities,Mr Stryver,person,2.7872340425531914
"Dickens, Charles",A Tale of Two Cities,Noble,person,3.4545454545454546
"Dickens, Charles",A Tale of Two Cities,North America,location,42
"Dickens, Charles",A Tale of Two Cities,North Tower,location,0.2
"Dickens, Charles",A Tale of Two Cities,Norway,location,-2
"Dickens, Charles",A Tale of Two Cities,Notre Dame,location,5.333333333333333
"Dickens, Charles",A Tale of Two Cities,Old England,location,2
"Dickens, Charles",A Tale of Two Cities,Paris,location,2.064516129032258
"Dickens, Charles",A Tale of Two Cities,Philip Pip,person,1.6666666666666667
"Dickens, Charles",A Tale of Two Cities,Pocket,person,0.8823529411764706
"Dickens, Charles",A Tale of Two Cities,Pork,location,-1
"Dickens, Charles",A Tale of Two Cities,Prince,location,25
"Dickens, Charles",A Tale of Two Cities,Professors,person,5
"Dickens, Charles",A Tale of Two Cities,Pross,person,0.746031746031746
"Dickens, Charles",A Tale of Two Cities,Queen,location,8.25
"Dickens, Charles",A Tale of Two Cities,Roger,person,0.75
"Dickens, Charles",A Tale of Two Cities,Roger Cly,person,0.75
"Dickens, Charles",A Tale of Two Cities,Rome,location,2
"Dickens, Charles",A Tale of Two Cities,Saint,person,2.603448275862069
"Dickens, Charles",A Tale of Two Cities,Saint Antoine Quarter,location,2.6923076923076925
"Dickens, Charles",A Tale of Two Cities,Saint Germain Quarter,location,8
"Dickens, Charles",A Tale of Two Cities,Saint Pancras,location,4.666666666666667
"Dickens, Charles",A Tale of Two Cities,Saint Paul,person,16
"Dickens, Charles",A Tale of Two Cities,Sardanapalus,location,2
"Dickens, Charles",A Tale of Two Cities,Scientific,location,3.6666666666666665
"Dickens, Charles",A Tale of Two Cities,Smith,person,0
"Dickens, Charles",A Tale of Two Cities,Soho,location,7.9411764705882355
"Dickens, Charles",A Tale of Two Cities,Solomon,person,0.7647058823529411
"Dickens, Charles",A Tale of Two Cities,Solomon John,person,-8
"Dickens, Charles",A Tale of Two Cities,Solomon Pross,person,-5
"Dickens, Charles",A Tale of Two Cities,South Sea,location,0
"Dickens, Charles",A Tale of Two Cities,Stryver,person,2.125
"Dickens, Charles",A Tale of Two Cities,Sydney Carton,person,2.0984848484848486
"Dickens, Charles",A Tale of Two Cities,Tellson,location,1.7727272727272727
"Dickens, Charles",A Tale of Two Cities,Temple,location,0.5
"Dickens, Charles",A Tale of Two Cities,Temple Bar,location,1.6666666666666667
"Dickens, Charles",A Tale of Two Cities,Temple Court,location,-6
"Dickens, Charles",A Tale of Two Cities,Timethrough,location,-1
"Dickens, Charles",A Tale of Two Cities,Tom,person,0.5348837209302325
"Dickens, Charles",A Tale of Two Cities,Turkey,location,6
"Dickens, Charles",A Tale of Two Cities,Unbelieving Chemists,person,0
"Dickens, Charles",A Tale of Two Cities,Washington,location,0.25
"Dickens, Charles",A Tale of Two Cities,Westminster,location,-13
"Dickens, Charles",A Tale of Two Cities,Westminster Hall,location,-30
"Dickens, Charles",A Tale of Two Cities,Wolf,person,0.5
"Dickens, Charles",Great Expectations,Abel Magwitch,person,0
"Dickens, Charles",Great Expectations,Abraham,person,-16.333333333333332
"Dickens, Charles",Great Expectations,Alexander,person,-54
"Dickens, Charles",Great Expectations,America,location,2
"Dickens, Charles",Great Expectations,Arthur,person,-0.5
"Dickens, Charles",Great Expectations,Athens,location,-3
"Dickens, Charles",Great Expectations,Bentley,person,4.416666666666667
"Dickens, Charles",Great Expectations,Bentley Drummle,person,2.0073529411764706
"Dickens, Charles",Great Expectations,Biddy,location,2.423312883435583
"Dickens, Charles",Great Expectations,Biddy,person,2.423312883435583
"Dickens, Charles",Great Expectations,Bill Barley,person,4.321428571428571
"Dickens, Charles",Great Expectations,Botany Bay,location,1
"Dickens, Charles",Great Expectations,Britain,location,2.6923076923076925
"Dickens, Charles",Great Expectations,Cain,person,-2
